X1,X2,V,E,Z1,Z2,t,y,y0,y1,ite,subgroup,structural_subgroup,feature_pattern
2.915534584016383,1.0,3.7687740699431305,2.703521811818618,-100.0,1.0444585069657921,1.0,69.17180017047482,66.37635220756715,69.17180017047482,2.795447962907673,2,SG2,111101
3.432410936360127,0.0,2.708088315040735,3.1246201538316885,-100.0,-100.0,0.0,66.54473827758825,66.54473827758825,73.8026246913912,7.25788641380295,1,SG1,111100
4.559979958771253,0.0,4.111679358436544,3.7952470561581593,-100.0,0.5833851031067929,0.0,71.34874123094811,71.34874123094811,71.22588665043631,-0.12285458051179887,2,SG2,111101
1.5238431826989545,1.0,1.167636807634314,1.3529275599185184,-100.0,-100.0,1.0,62.45990500847216,56.15148910928003,62.45990500847216,6.308415899192134,1,SG1,111100
4.226429573224798,1.0,3.17892705142465,-100.0,5.5008692814483915,-100.0,1.0,87.65742268113327,76.6970936213225,87.65742268113327,10.960329059810775,0,SG0b,111010
1.5556212600466535,0.0,2.247896495349833,-100.0,2.0842993253027275,1.19107864491348,0.0,59.60669867769794,59.60669867769794,66.39459407472378,6.787895397025842,5,SG5,111011
2.759547095176635,0.0,3.782950155740618,1.6309475929119495,-100.0,1.8396421260057418,0.0,68.04767526463503,68.04767526463503,72.80300480155046,4.755329536915426,2,SG2,111101
4.140499237123996,0.0,3.439037153894272,2.730429725962938,-100.0,1.5684031203774356,0.0,71.25060902327299,71.25060902327299,74.81381173874077,3.5632027154677814,2,SG2,111101
3.6157480263484523,1.0,4.579419077739034,-100.0,3.6452251318763995,-100.0,1.0,82.40554776502108,71.56311165158561,82.40554776502108,10.842436113435468,0,SG0b,111010
4.314348344386648,0.0,5.208266927208526,4.079004770169792,-100.0,-100.0,0.0,72.45821499067597,72.45821499067597,78.94787781851824,6.489662827842267,1,SG1,111100
4.074405962581867,1.0,2.8205593986904294,-100.0,3.447471534058564,-100.0,0.0,74.23729793074607,74.23729793074607,82.2545640093478,8.017266078601736,0,SG0a,111010
1.3817363096726853,0.0,-100.0,2.138186163804086,0.6078120257784315,-100.0,1.0,59.892137717009355,54.146362931148985,59.892137717009355,5.74577478586037,4,SG4,110110
4.964683358559055,1.0,6.603527745456979,5.096621150963288,-100.0,-100.0,0.0,80.13235838464098,80.13235838464098,87.4395229414082,7.307164556767219,1,SG1,111100
4.684992161035363,0.0,3.358466856510963,3.8867599102704395,-100.0,2.2471241637578956,0.0,72.7294660634206,72.7294660634206,76.05947873379691,3.3300126703763056,2,SG2,111101
2.150873106191449,0.0,4.632659654611551,2.284255111946627,-100.0,-100.0,1.0,67.43239839783647,63.714003010667234,67.43239839783647,3.718395387169231,1,SG1,111100
0.23604737844438117,0.0,0.9575601709896029,-100.0,1.1270931509558788,-100.0,0.0,50.27126426336263,50.27126426336263,54.2881043933216,4.016840129958972,0,SG0a,111010
1.5174833659456506,0.0,2.63533712452107,1.433466500707469,-100.0,-100.0,0.0,54.5901966903029,54.5901966903029,59.20495904026815,4.614762349965247,1,SG1,111100
4.180762652982134,1.0,5.119839876364723,-100.0,6.0570592233948455,-100.0,1.0,95.17690730004612,82.37489593909861,95.17690730004612,12.802011360947517,0,SG0a,111010
4.754352097494168,0.0,4.607125002097182,3.092554088970418,-100.0,1.845513978568851,1.0,78.20157705797713,75.88468450413097,78.20157705797713,2.3168925538461593,2,SG2,111101
4.158359771299414,0.0,4.23030287508648,3.9526865488247145,-100.0,-100.0,1.0,77.8203706003772,70.65351163031511,77.8203706003772,7.166858970062094,1,SG1,111100
1.9837161830229806,1.0,2.8947645072286843,1.9733095363834448,-100.0,1.5877449244250248,1.0,69.23860143999975,63.29737892190585,69.23860143999975,5.941222518093902,2,SG2,111101
0.28268249843165616,0.0,1.0392129378423285,-100.0,1.5474995705178878,-100.0,0.0,52.284586416079364,52.284586416079364,56.667984271369356,4.383397855289992,0,SG0a,111010
